-0.78495,218.71,13.933,8.7823,1.5474
1.6543,264.04,15.075,10.555,1.4103
6.95,308.89,15.093,10.779,1.2802
0.25254,433.89,13.415,8.643,1.1096
1018.3,340.09,15.636,10.799,-1.2714
1023.5,464.04,14.595,9.583,-0.98779
1022.4,464.72,5.7192,3.7115,-1.2059
381.76,148.94,19.119,18.867,-0.55491
439.38,148.6,19.552,18.995,-0.10661
497.99,149.01,19.697,19.078,0.010676
557.05,150.5,19.585,19.054,0.15248
325.78,150.27,18.719,18.267,-1.1295
272.09,152.24,18.356,17.476,-1.3326
615.45,152.77,19.373,19.018,0.34537
672.7,155.88,19.069,18.732,0.91839
439.42,148.42,9.5127,9.3067,-0.017795
381.76,148.87,9.2536,9.0942,-0.40611
498.15,148.98,9.5851,9.1499,-0.019818
325.77,150.03,9.0449,8.9973,-0.46582
557.07,150.44,9.4725,9.3944,0.024827
728.09,159.82,18.744,18.045,1.2343
272.1,152.14,9.061,8.4295,-1.2945
615.47,152.76,9.444,9.2471,0.22813
781.27,164.42,18.38,17.233,1.3377
672.77,155.86,9.2683,9.0538,0.8265
728.24,159.83,9.0951,8.7048,1.4051
781.35,164.4,8.8875,8.453,1.1965
439.03,205.29,19.225,18.809,0.29711
326.73,205.76,18.527,18.117,1.3189
382.07,205.28,18.911,18.624,0.37248
497.18,205.96,19.508,19.007,0.067415
555.45,207.36,19.464,18.884,0.11698
273.47,206.92,18.182,17.388,1.3855
613.26,209.44,19.078,18.749,0.094555
670.05,212.11,18.791,18.612,-1.3457
381.96,205.14,9.1967,9.026,0.65838
439.1,205.17,9.3877,9.1273,0.28944
326.69,205.79,8.8929,8.859,0.86751
497.18,205.99,9.4545,9.1704,0.030984
724.87,215.23,18.454,18,-1.4991
273.35,206.84,8.7832,8.4409,1.4145
555.43,207.27,9.4882,9.1652,0.21733
613.33,209.32,9.3347,9.0873,-0.18419
777.52,218.94,18.213,17.119,-1.526
669.94,212.05,9.1636,9.0022,1.0097
725.02,215.18,9.0048,8.6722,-0.99721
777.62,218.78,8.9502,8.2888,-1.4821
328.35,260.51,18.311,17.612,1.0424
383.04,260.55,18.725,18.209,0.65153
275.84,260.73,17.986,17.007,1.1416
439.11,261.1,19.001,18.383,0.23779
496.25,262.05,19.226,18.391,0.14224
553.74,263.41,19.102,18.603,-0.057302
610.76,265.22,18.902,18.45,-0.084171
666.63,267.32,18.57,18.141,-0.69701
275.77,260.7,8.6387,8.1512,1.1939
328.35,260.49,8.8589,8.6254,1.0906
382.97,260.55,9.0438,8.7018,0.16669
439.02,261.1,9.1748,9.0495,0.81875
720.82,269.85,18.257,17.594,-0.97888
496.35,262.08,9.3822,8.981,0.11319
553.78,263.4,9.2353,8.9651,0.010485
772.83,272.49,17.9,16.834,-1.1354
610.82,265.14,9.102,8.8755,-0.07966
666.81,267.44,9.1046,8.7021,-0.46338
721.08,269.89,8.9005,8.4902,-1.1951
772.95,272.55,8.7211,8.0962,-1.2069
278.81,313.34,17.851,16.536,0.917
330.48,313.78,18.129,17.094,0.72438
384.18,314.49,18.412,17.43,0.51569
439.37,315.49,18.729,17.676,0.27974
495.45,316.75,18.77,17.981,0.19988
551.94,317.95,18.755,17.913,-0.10318
607.89,319.45,18.519,17.68,-0.28028
662.81,321.17,18.284,17.463,-0.53405
278.8,313.39,8.6708,7.9545,1.0385
330.42,313.78,8.721,8.3318,0.7131
